qid_a,qid_b,n_shared_images,text_cosine,near_dup_question
MM-121,MM-174,1,0.972,True
MM-158,MM-890,3,0.77,False
MM-1389,MM-267,3,0.247,False
MM-1316,MM-1658,2,0.398,False
MM-10,MM-1564,1,0.732,False
MM-121,MM-1564,1,0.703,False
MM-1564,MM-174,1,0.701,False
MM-21,MM-244,1,0.682,False
MM-10,MM-174,1,0.659,False
MM-10,MM-121,1,0.63,False
MM-477,MM-992,1,0.516,False
MM-1302,MM-131,1,0.302,False
MM-131,MM-276,1,0.282,False
MM-1302,MM-276,1,0.279,False
MM-1518,MM-708,1,0.27,False
MM-1302,MM-316,1,0.263,False
MM-1371,MM-1961,1,0.225,False
MM-131,MM-316,1,0.223,False
MM-609,MM-644,1,0.183,False
MM-1149,MM-753,1,0.172,False
MM-1903,MM-246,1,0.171,False
MM-1887,MM-200,1,0.161,False
MM-1314,MM-307,1,0.156,False
MM-276,MM-316,1,0.153,False
MM-722,MM-825,1,0.144,False
MM-1317,MM-1501,1,0.141,False
MM-1577,MM-482,1,0.14,False
MM-101,MM-163,1,0.114,False
MM-1076,MM-693,1,0.111,False
MM-19,MM-763,1,0.109,False
MM-1628,MM-442,1,0.096,False
MM-1316,MM-1995,1,0.095,False
MM-1686,MM-848,1,0.091,False
MM-1088,MM-1616,1,0.081,False
MM-1582,MM-1649,1,0.071,False
MM-1094,MM-1302,1,0.07,False
MM-464,MM-6,1,0.062,False
MM-1735,MM-854,1,0.061,False
MM-739,MM-876,1,0.06,False
MM-1658,MM-1995,1,0.052,False
MM-15,MM-1558,1,0.032,False
MM-1491,MM-1735,1,0.027,False
